filename,prompt,style,tempo,key
bgm_main_theme,Cute and dreamy opening theme for a Sanrio-themed mobile game， piano melody with gentle strings， magical fairy-tale atmosphere， warm and welcoming， G major， 120 BPM， Studio Ghibli-inspired， light bells， soft synth pads， heartwarming， instrumental only， no vocals,warm,dreamy,welcoming,120,G major
bgm_chapter1_normal,Upbeat and cheerful background music for a baking party scene， cute mobile game BGM， xylophone and glockenspiel melody， light electronic beat， pink and sweet atmosphere， F major， 128 BPM， playful and anticipation， Kawaii future bass elements， sugar rush feeling， instrumental,cheerful,playful,sweet,128,F major
bgm_chapter1_explore,Playful adventure music for searching ingredients， accordion and pizzicato strings， light-hearted exploration， European bakery vibes， quirky and curious， G major， 125 BPM， walking pace， warm acoustic feeling， gentle drums， instrumental,curious,playful,adventurous,125,G major
bgm_chapter1_warm,Warm and cozy preparation music， string quartet with piano， collaborative and heartwarming， pastel colors atmosphere， C major， 118 BPM， flowing melody， orchestral but light， friendship theme， studio ghibli style orchestration， instrumental,warm,cozy,heartwarming,118,C major
bgm_chapter1_boss,Celebration climax music for party finale， full band arrangement， brass section with strings， triumphant and joyful， upbeat party atmosphere， confetti and balloons feeling， D major， 132 BPM， energetic and festive， carnival elements， bright and colorful， instrumental,triumphant,energetic,celebratory,132,D major
bgm_chapter2_musicbox,Dreamy music box theme， celesta and glockenspiel， ethereal and magical， fairytale forest atmosphere， A minor， 100 BPM， delicate and fragile， sparkling sound effects， innocence and wonder， classical music box melody， instrumental,dreamy,ethereal,magical,100,A minor
bgm_chapter2_explore,Exploration music with music box elements， searching for notes， pizzicato strings with soft electronic beat， whimsical and curious， magical journey， E minor， 115 BPM， gentle drive， sparkle effects， mystery but cute， instrumental,curious,whimsical,magical,115,E minor
bgm_chapter2_warm,Heartwarming puzzle completion music， building melody layers， strings and woodwinds， satisfying progression， healing atmosphere， warm sunset feeling， C major， 108 BPM， gentle and rewarding， emotional resolution， friends helping theme， instrumental,heartwarming,rewarding,healing,108,C major
bgm_chapter2_boss,Grand orchestral finale， My Melody theme variation， full string section with harp， emotional climax， magical concert atmosphere， dreams coming true， F major， 120 BPM， cinematic but cute， waltz rhythm， enchanted garden， instrumental,grand,emotional,cinematic,120,F major
bgm_chapter3_cloud,Ethereal cloud walking music， airy and floating sensation， synthesizer pads with wind chimes， peaceful and dreamy， soft pan flute， vast sky atmosphere， A major， 90 BPM， slow and relaxing， ambient nature sounds， cotton candy clouds， instrumental,peaceful,ethereal,relaxing,90,A major
